dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.992864,3.324545,4.944643,7.039838,12.669738,-2.639807,1.409923
0.020000,4.013215,3.468877,5.090403,7.288005,12.408362,-13.068800,1.450750
0.020000,4.028372,3.618654,5.240945,7.527081,11.953767,-22.729767,1.488426
0.020000,4.038402,3.773421,5.396036,7.754575,11.374736,-28.951549,1.523080
0.020000,4.043425,3.932721,5.555415,7.968944,10.718422,-32.815685,1.554873
0.020000,4.043604,4.096108,5.718803,8.169383,10.021979,-34.822150,1.583982
0.020000,4.039136,4.263161,5.885916,8.355639,9.312805,-35.458701,1.610593
0.020000,4.030242,4.433486,6.056472,8.527836,8.609841,-35.148196,1.634888
0.020000,4.017160,4.606719,6.230199,8.686341,7.925255,-34.229335,1.657044
0.020000,4.000138,4.782526,6.406828,8.831422,7.254019,-33.561794,1.677226
0.020000,3.979428,4.960600,6.586102,8.963707,6.614281,-31.986872,1.695585
0.020000,3.955285,5.140673,6.767786,9.084230,6.026123,-29.407892,1.712263
0.020000,3.927961,5.322486,6.951641,9.192755,5.426267,-29.992816,1.727387
0.020000,3.897705,5.505821,7.137456,9.290728,4.898657,-26.380515,1.741072
0.020000,3.864759,5.690471,7.325022,9.378301,4.378608,-26.002431,1.753422
0.020000,3.829361,5.876241,7.514134,9.455610,3.865467,-25.657044,1.764529
0.020000,3.791743,6.062966,7.704611,9.523842,3.411594,-22.693650,1.774475
0.020000,3.752126,6.250488,7.896272,9.583041,2.959946,-22.582423,1.783334
0.020000,3.710730,6.438660,8.088944,9.633617,2.528825,-21.556064,1.791171
0.020000,3.667752,6.627402,8.282517,9.678635,2.250916,-13.895451,1.798045
0.020000,3.623369,6.816692,8.476940,9.721178,2.127147,-6.188420,1.804010
0.020000,3.577752,7.006520,8.672173,9.761625,2.022332,-5.240758,1.809109
0.020000,3.531063,7.196884,8.868179,9.800315,1.934485,-4.392343,1.813381
0.020000,3.483456,7.387789,9.064930,9.837555,1.862009,-3.623803,1.816856
0.020000,3.435084,7.579245,9.262403,9.873616,1.803053,-2.947786,1.819560
0.020000,3.386092,7.771269,9.460578,9.908755,1.756962,-2.304568,1.821512
0.020000,3.336625,7.963885,9.659444,9.943314,1.727937,-1.451245,1.822725
0.020000,3.286825,8.157120,9.858993,9.977466,1.707598,-1.016956,1.823207
0.020000,3.236832,8.351007,10.059222,10.011446,1.699020,-0.428907,1.822963
0.020000,3.186787,8.545585,10.260132,10.045501,1.702753,0.186677,1.821990
0.020000,3.136833,8.740896,10.461731,10.079908,1.720340,0.879330,1.820281
0.020000,3.087113,8.936988,10.664027,10.114845,1.746820,1.324001,1.817825
0.020000,3.037777,9.133913,10.867039,10.150580,1.786762,1.997110,1.814605
0.020000,2.988975,9.331730,11.070787,10.187383,1.840164,2.670091,1.810597
0.020000,2.940868,9.530502,11.275297,10.225541,1.907910,3.387294,1.805772
0.020000,2.893621,9.730299,11.480605,10.265362,1.991058,4.157405,1.800095
0.020000,2.847411,9.931196,11.686748,10.307179,2.090848,4.989508,1.793524
0.020000,2.802424,10.133277,11.893775,10.351354,2.208713,5.893265,1.786009
0.020000,2.758860,10.336628,12.101741,10.398280,2.346296,6.879113,1.777490
0.020000,2.716938,10.541348,12.310709,10.448389,2.505465,7.958450,1.767899
0.020000,2.676893,10.747538,12.520752,10.502156,2.688341,9.143809,1.757157
0.020000,2.638985,10.955303,12.731947,10.559738,2.879130,9.539444,1.745173
0.020000,2.603509,11.164704,12.944331,10.619226,2.974377,4.762350,1.731847
0.020000,2.570797,11.375743,13.157891,10.677984,2.937896,-1.824032,1.717068
0.020000,2.541209,11.588437,13.372633,10.737120,2.956824,0.946396,1.700713
0.020000,2.515139,11.802796,13.588571,10.796882,2.988072,1.562412,1.682644
0.020000,2.493019,12.018842,13.805747,10.858820,3.096916,5.442161,1.662707
0.020000,2.475324,12.236577,14.024200,10.922641,3.191045,4.706494,1.640733
0.020000,2.462579,12.456001,14.243993,10.989649,3.350403,7.967863,1.616537
0.020000,2.455362,12.677093,14.465203,11.060492,3.542136,9.586674,1.589918
0.020000,2.454314,12.899804,14.687917,11.135683,3.759581,10.872221,1.560663
0.020000,2.460137,13.124039,14.912227,11.215510,3.991325,11.587206,1.528553
0.020000,2.473598,13.349649,15.138239,11.300602,4.254590,13.163246,1.493365
0.020000,2.495525,13.576375,15.366022,11.389179,4.428845,8.712762,1.454894
0.020000,2.526794,13.803853,15.595639,11.480847,4.583421,7.728793,1.412960
0.020000,2.568304,14.031550,15.827090,11.572513,4.583293,-0.006391,1.367440
0.020000,2.620942,14.258755,16.060312,11.661113,4.430021,-7.663594,1.318288
0.020000,2.685516,14.484508,16.295119,11.740346,3.961634,-23.419336,1.265578
0.020000,2.762686,14.707618,16.531198,11.803940,3.179705,-39.096474,1.209526
0.020000,2.852867,14.926660,16.768078,11.844017,2.003825,-58.794012,1.150522
0.020000,2.956137,15.140013,17.005110,11.851594,0.378872,-81.247639,1.089138
0.020000,3.072161,15.345964,17.241493,11.819182,-1.620619,-99.974545,1.026113
0.020000,3.200159,15.542825,17.476308,11.740732,-3.922471,-115.092580,0.962314
0.020000,3.338923,15.729088,17.708578,11.613500,-6.361623,-121.957629,0.898668
0.020000,3.486900,15.903546,17.937342,11.438188,-8.765595,-120.198611,0.836085
0.020000,3.642316,16.065390,18.161724,11.219096,-10.954611,-109.450770,0.775386
0.020000,3.803316,16.214238,18.380988,10.963227,-12.793440,-91.941442,0.717243
0.020000,3.968162,16.350165,18.594647,10.682946,-14.014027,-61.029385,0.662131
0.020000,4.135306,16.473594,18.802426,10.388946,-14.700016,-34.299444,0.610337
0.020000,4.303433,16.585191,19.004220,10.089674,-14.963607,-13.179546,0.561986
0.020000,4.471419,16.685742,19.199999,9.788981,-15.034645,-3.551913,0.517089
0.020000,4.638398,16.776131,19.389874,9.493719,-14.763108,13.576871,0.475550
0.020000,4.803659,16.857233,19.573962,9.204423,-14.464762,14.917316,0.437218
0.020000,4.966702,16.929927,19.752477,8.925727,-13.934840,26.496094,0.401893
0.020000,5.127112,16.995020,19.925590,8.655696,-13.501530,21.665484,0.369368
0.020000,5.284603,17.053271,20.093510,8.395959,-12.986861,25.733440,0.339422
0.020000,5.439002,17.105383,20.256466,8.147794,-12.408261,28.930026,0.311834
0.020000,5.590125,17.151967,20.414605,7.906974,-12.040965,18.364812,0.286406
0.020000,5.737910,17.193597,20.568142,7.676837,-11.506868,26.704853,0.262941
0.020000,5.882301,17.230776,20.717243,7.455039,-11.089897,20.848507,0.241261
0.020000,6.023228,17.263944,20.862020,7.238873,-10.808286,14.080587,0.221209
0.020000,6.160734,17.293518,21.002671,7.032540,-10.316678,24.580400,0.202630
0.020000,6.294763,17.319844,21.139261,6.829495,-10.152218,8.222988,0.185400
0.020000,6.425357,17.343249,21.271936,6.633743,-9.787627,18.229545,0.169394
0.020000,6.552535,17.364021,21.400798,6.443134,-9.530431,12.859786,0.154506
0.020000,6.676277,17.382410,21.525899,6.255036,-9.404892,6.276983,0.140643
0.020000,6.796654,17.398654,21.647368,6.073437,-9.079991,16.245026,0.127715
0.020000,6.913660,17.412958,21.765245,5.893840,-8.979834,5.007848,0.115648
0.020000,7.027344,17.425511,21.879620,5.718764,-8.753794,11.302025,0.104369
0.020000,7.137716,17.436480,21.990535,5.545763,-8.650032,5.188096,0.093818
0.020000,7.244792,17.446019,22.098036,5.375026,-8.536860,5.658571,0.083940
0.020000,7.348600,17.454267,22.202170,5.206738,-8.414405,6.122742,0.074685
0.020000,7.449172,17.461352,22.302992,5.041078,-8.282988,6.570868,0.066006
0.020000,7.546550,17.467388,22.400556,4.878217,-8.143082,6.995327,0.057860
0.020000,7.640700,17.472479,22.494845,4.714420,-8.189827,-2.337260,0.050216
0.020000,7.731713,17.476724,22.585956,4.555551,-7.943463,12.318204,0.043035
0.020000,7.819536,17.480208,22.673848,4.394619,-8.046615,-5.157600,0.036291
0.020000,7.904232,17.483013,22.758591,4.237131,-7.874376,8.611923,0.029954
0.020000,7.985814,17.485214,22.840203,4.080601,-7.826489,2.394383,0.023999
0.020000,8.064295,17.486877,22.918701,3.924893,-7.785390,2.054920,0.018405
0.020000,8.139689,17.488066,22.994104,3.770173,-7.735999,2.469558,0.013150
0.020000,8.212017,17.488838,23.066436,3.616601,-7.678635,2.868192,0.008215
0.020000,8.281289,17.489246,23.135710,3.463676,-7.646260,1.618752,0.003584
0.020000,8.347487,17.489339,23.201908,3.309923,-7.687613,-2.067621,6.282428
0.020000,8.410684,17.489162,23.265105,3.159836,-7.504369,9.162160,6.278359
0.020000,8.470829,17.488757,23.325251,3.007306,-7.626516,-6.107316,6.274552
0.020000,8.527995,17.488162,23.382420,2.858477,-7.441450,9.253263,6.270993
0.020000,8.582124,17.487412,23.436555,2.706733,-7.587181,-7.286524,6.267674
0.020000,8.633269,17.486539,23.487707,2.557597,-7.456810,6.518550,6.264583
0.020000,8.681436,17.485574,23.535883,2.408814,-7.439152,0.882894,6.261711
0.020000,8.726625,17.484543,23.581085,2.260080,-7.436678,0.123725,6.259050
0.020000,8.768842,17.483472,23.623316,2.111533,-7.427346,0.466595,6.256594
0.020000,8.808094,17.482383,23.662582,1.963307,-7.411303,0.802121,6.254334
0.020000,8.844395,17.481298,23.698900,1.815896,-7.370566,2.036860,6.252266
0.020000,8.877825,17.480232,23.732347,1.672353,-7.177141,9.671235,6.250379
0.020000,8.908508,17.479199,23.763047,1.535025,-6.866422,15.535981,6.248661
0.020000,8.936519,17.478210,23.791076,1.401421,-6.680198,9.311185,6.247105
0.020000,8.962043,17.477270,23.816616,1.277048,-6.218646,23.077609,6.245698
0.020000,8.985163,17.476389,23.839753,1.156832,-6.010798,10.392402,6.244431
0.020000,9.006011,17.475568,23.860618,1.043235,-5.679818,16.548969,6.243295
0.020000,9.024698,17.474813,23.879320,0.935091,-5.407241,13.628878,6.242282
0.020000,9.041371,17.474123,23.896007,0.834388,-5.035135,18.605278,6.241382
0.020000,9.056088,17.473502,23.910737,0.736489,-4.894948,7.009347,6.240591
0.020000,9.069026,17.472946,23.923687,0.647503,-4.449314,22.281700,6.239898
0.020000,9.080297,17.472454,23.934968,0.564052,-4.172555,13.837943,6.239296
0.020000,9.089979,17.472027,23.944660,0.484609,-3.972126,10.021457,6.238781
0.020000,9.098213,17.471659,23.952902,0.412086,-3.626138,17.299430,6.238343
0.020000,9.105124,17.471348,23.959820,0.345905,-3.309069,15.853453,6.237977
0.020000,9.110827,17.471089,23.965529,0.285444,-3.023049,14.300973,6.237675
0.020000,9.115437,17.470878,23.970144,0.230737,-2.735331,14.385931,6.237432
0.020000,9.119069,17.470711,23.973780,0.181813,-2.446221,14.455459,6.237240
0.020000,9.121840,17.470584,23.976554,0.138693,-2.156000,14.511072,6.237094
0.020000,9.123866,17.470490,23.978582,0.101395,-1.864914,14.554303,6.236987
0.020000,9.125263,17.470426,23.979981,0.069931,-1.573180,14.586699,6.236913
0.020000,9.126148,17.470385,23.980867,0.044311,-1.280984,14.609822,6.236867
0.020000,9.126639,17.470362,23.981358,0.024542,-0.988479,14.625240,6.236841
0.020000,9.126851,17.470352,23.981570,0.010626,-0.695788,14.634530,6.236829
0.020000,9.126902,17.470350,23.981621,0.002566,-0.403003,14.639269,6.236827
0.020000,9.126902,17.470350,23.981621,0.000000,-0.128298,13.735247,6.236827
