dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.915791,3.174776,6.299167,9.150000,5.000000,-13.888889,1.409923
0.020000,4.941486,3.356903,6.483111,9.244444,4.722222,-13.888889,1.450750
0.020000,4.960202,3.541725,6.668889,9.333333,4.444444,-13.888889,1.488426
0.020000,4.972338,3.728823,6.856389,9.416667,4.166667,-13.888889,1.523080
0.020000,4.978306,3.917833,7.045500,9.494444,3.888889,-13.888889,1.554873
0.020000,4.978522,4.108436,7.236111,9.566667,3.611111,-13.888889,1.583982
0.020000,4.973395,4.300361,7.428111,9.633333,3.333333,-13.888889,1.610593
0.020000,4.963322,4.493371,7.621389,9.694444,3.055556,-13.888889,1.634888
0.020000,4.948684,4.687262,7.815833,9.750000,2.777778,-13.888889,1.657044
0.020000,4.929847,4.881849,8.011333,9.800000,2.500000,-13.888889,1.677226
0.020000,4.907158,5.076974,8.207778,9.844444,2.222222,-13.888889,1.695585
0.020000,4.880945,5.272504,8.405056,9.883333,1.944444,-13.888889,1.712263
0.020000,4.851521,5.468301,8.603056,9.916667,1.666667,-13.888889,1.727387
0.020000,4.819183,5.664261,8.801667,9.944444,1.388889,-13.888889,1.741072
0.020000,4.784210,5.860279,9.000778,9.966667,1.111111,-13.888889,1.753422
0.020000,4.746870,6.056250,9.200278,9.983333,0.833333,-13.888889,1.764529
0.020000,4.707415,6.252092,9.400056,9.994444,0.555556,-13.888889,1.774475
0.020000,4.666088,6.447718,9.600000,10.000000,0.277778,-13.888889,1.783334
0.020000,4.623118,6.643047,9.800000,10.000000,0.000000,-13.888889,1.791171
0.020000,4.578713,6.838056,10.000000,10.000000,0.000000,0.000000,1.798045
0.020000,4.533058,7.032775,10.200000,10.000000,0.000000,0.000000,1.804010
0.020000,4.486327,7.227239,10.400000,10.000000,0.000000,0.000000,1.809109
0.020000,4.438686,7.421483,10.600000,10.000000,0.000000,0.000000,1.813381
0.020000,4.390294,7.615541,10.800000,10.000000,0.000000,0.000000,1.816856
0.020000,4.341302,7.809448,11.000000,10.000000,0.000000,0.000000,1.819560
0.020000,4.291860,8.003240,11.200000,10.000000,0.000000,0.000000,1.821512
0.020000,4.242111,8.196954,11.400000,10.000000,0.000000,0.000000,1.822725
0.020000,4.192198,8.390626,11.600000,10.000000,0.000000,0.000000,1.823207
0.020000,4.142262,8.584292,11.800000,10.000000,0.000000,0.000000,1.822963
0.020000,4.092444,8.777989,12.000000,10.000000,0.000000,0.000000,1.821990
0.020000,4.042885,8.971752,12.200000,10.000000,0.000000,0.000000,1.820281
0.020000,3.993730,9.165618,12.400000,10.000000,0.000000,0.000000,1.817825
0.020000,3.945125,9.359622,12.600000,10.000000,0.000000,0.000000,1.814605
0.020000,3.897221,9.553801,12.800000,10.000000,0.000000,0.000000,1.810597
0.020000,3.850174,9.748188,13.000000,10.000000,0.000000,0.000000,1.805772
0.020000,3.804149,9.942820,13.200000,10.000000,0.000000,0.000000,1.800095
0.020000,3.759315,10.137730,13.400000,10.000000,0.000000,0.000000,1.793524
0.020000,3.715854,10.332951,13.600000,10.000000,0.000000,0.000000,1.786009
0.020000,3.673959,10.528514,13.800000,10.000000,0.000000,0.000000,1.777490
0.020000,3.633835,10.724448,14.000000,10.000000,0.000000,0.000000,1.767899
0.020000,3.595703,10.920779,14.200000,10.000000,0.000000,0.000000,1.757157
0.020000,3.559805,11.117521,14.399993,9.999313,-0.034370,-1.718477,1.745173
0.020000,3.526409,11.314636,14.599917,9.993070,-0.312147,-13.888889,1.731847
0.020000,3.495812,11.512020,14.799660,9.981271,-0.589925,-13.888889,1.717068
0.020000,3.468329,11.709568,14.999112,9.963917,-0.867703,-13.888889,1.700713
0.020000,3.444297,11.907155,15.198161,9.941007,-1.145481,-13.888889,1.682644
0.020000,3.424072,12.104658,15.396697,9.912542,-1.423258,-13.888889,1.662707
0.020000,3.408038,12.301915,15.594608,9.878522,-1.701036,-13.888889,1.640733
0.020000,3.396601,12.498753,15.791782,9.838945,-1.978814,-13.888889,1.616537
0.020000,3.390191,12.694970,15.988110,9.793813,-2.256592,-13.888889,1.589918
0.020000,3.389266,12.890330,16.183479,9.743126,-2.534370,-13.888889,1.560663
0.020000,3.394303,13.084553,16.377779,9.686883,-2.812147,-13.888889,1.528553
0.020000,3.405796,13.277323,16.570899,9.625085,-3.089925,-13.888889,1.493365
0.020000,3.424252,13.468249,16.762727,9.557731,-3.367703,-13.888889,1.454894
0.020000,3.450171,13.656888,16.953153,9.484821,-3.645481,-13.888889,1.412960
0.020000,3.484037,13.842720,17.142064,9.406356,-3.923258,-13.888889,1.367440
0.020000,3.526292,14.025161,17.329351,9.322335,-4.201036,-13.888889,1.318288
0.020000,3.577302,14.203539,17.514902,9.232759,-4.478814,-13.888889,1.265578
0.020000,3.637330,14.377130,17.698606,9.137627,-4.756592,-13.888889,1.209526
0.020000,3.706500,14.545170,17.880352,9.036940,-5.034370,-13.888889,1.150522
0.020000,3.784760,14.706875,18.060028,8.930697,-5.312147,-13.888889,1.089138
0.020000,3.871859,14.861496,18.237524,8.818898,-5.589925,-13.888889,1.026113
0.020000,3.967342,15.008358,18.412729,8.701544,-5.867703,-13.888889,0.962314
0.020000,4.070559,15.146908,18.585530,8.578634,-6.145481,-13.888889,0.898668
0.020000,4.180693,15.276748,18.755818,8.450169,-6.423258,-13.888889,0.836085
0.020000,4.296808,15.397659,18.923482,8.316149,-6.701036,-13.888889,0.775386
0.020000,4.417900,15.509602,19.088416,8.177260,-6.944444,-12.170412,0.717243
0.020000,4.542999,15.612745,19.250572,8.038371,-6.944444,0.000000,0.662131
0.020000,4.671195,15.707403,19.409950,7.899482,-6.944444,-0.000000,0.610337
0.020000,4.801665,15.793996,19.566551,7.760593,-6.944444,0.000000,0.561986
0.020000,4.933638,15.872982,19.720374,7.621704,-6.944444,-0.000000,0.517089
0.020000,5.066467,15.944877,19.871419,7.482815,-6.944444,0.000000,0.475550
0.020000,5.199557,16.010185,20.019687,7.343926,-6.944444,-0.000000,0.437218
0.020000,5.332438,16.069426,20.165176,7.205037,-6.944444,0.000000,0.401893
0.020000,5.464671,16.123080,20.307888,7.066149,-6.944444,0.000000,0.369368
0.020000,5.595904,16.171616,20.447822,6.927260,-6.944444,0.000000,0.339422
0.020000,5.725864,16.215476,20.584979,6.788371,-6.944444,0.000000,0.311834
0.020000,5.854268,16.255054,20.719357,6.649482,-6.944444,-0.000000,0.286406
0.020000,5.980937,16.290733,20.850958,6.510593,-6.944444,0.000000,0.262941
0.020000,6.105698,16.322855,20.979781,6.371704,-6.944444,-0.000000,0.241261
0.020000,6.228375,16.351727,21.105826,6.232815,-6.944444,0.000000,0.221209
0.020000,6.348899,16.377648,21.229094,6.093926,-6.944444,0.000000,0.202630
0.020000,6.467120,16.400868,21.349583,5.955037,-6.944444,-0.000000,0.185400
0.020000,6.582984,16.421632,21.467295,5.816149,-6.944444,0.000000,0.169394
0.020000,6.696424,16.440159,21.582229,5.677260,-6.944444,0.000000,0.154506
0.020000,6.807345,16.456642,21.694385,5.538371,-6.944444,-0.000000,0.140643
0.020000,6.915744,16.471269,21.803764,5.399482,-6.944444,0.000000,0.127715
0.020000,7.021550,16.484203,21.910365,5.260593,-6.944444,-0.000000,0.115648
0.020000,7.124752,16.495599,22.014188,5.121704,-6.944444,0.000000,0.104369
0.020000,7.225307,16.505592,22.115233,4.982815,-6.944444,0.000000,0.093818
0.020000,7.323184,16.514312,22.213500,4.843926,-6.944444,0.000000,0.083940
0.020000,7.418365,16.521874,22.308990,4.705037,-6.944444,-0.000000,0.074685
0.020000,7.510843,16.528388,22.401702,4.566149,-6.944444,0.000000,0.066006
0.020000,7.600619,16.533953,22.491636,4.427260,-6.944444,0.000000,0.057860
0.020000,7.687633,16.538658,22.578792,4.288371,-6.944444,-0.000000,0.050216
0.020000,7.771938,16.542590,22.663171,4.149482,-6.944444,0.000000,0.043035
0.020000,7.853460,16.545824,22.744771,4.010593,-6.944444,-0.000000,0.036291
0.020000,7.932235,16.548433,22.823594,3.871704,-6.944444,0.000000,0.029954
0.020000,8.008252,16.550483,22.899640,3.732815,-6.944444,-0.000000,0.023999
0.020000,8.081502,16.552035,22.972907,3.593926,-6.944444,0.000000,0.018405
0.020000,8.151983,16.553147,23.043397,3.455037,-6.944444,-0.000000,0.013150
0.020000,8.219698,16.553870,23.111109,3.316149,-6.944444,0.000000,0.008215
0.020000,8.284640,16.554252,23.176043,3.177260,-6.944444,-0.000000,0.003584
0.020000,8.346779,16.554340,23.238199,3.038371,-6.944444,0.000000,6.282428
0.020000,8.406171,16.554173,23.297577,2.899482,-6.944444,-0.000000,6.278359
0.020000,8.462757,16.553792,23.354178,2.760593,-6.944444,0.000000,6.274552
0.020000,8.516595,16.553231,23.408001,2.621704,-6.944444,0.000000,6.270993
0.020000,8.567622,16.552524,23.459046,2.482815,-6.944444,-0.000000,6.267674
0.020000,8.615876,16.551701,23.507314,2.343926,-6.944444,-0.000000,6.264583
0.020000,8.661358,16.550789,23.552803,2.205037,-6.944444,0.000000,6.261711
0.020000,8.704061,16.549815,23.595515,2.066149,-6.944444,0.000000,6.259050
0.020000,8.743982,16.548802,23.635449,1.927260,-6.944444,0.000000,6.256594
0.020000,8.781122,16.547772,23.672606,1.788371,-6.944444,-0.000000,6.254334
0.020000,8.815490,16.546745,23.706991,1.650169,-6.910075,1.718477,6.252266
0.020000,8.847157,16.545735,23.738668,1.517523,-6.632297,13.888889,6.250379
0.020000,8.876235,16.544756,23.767748,1.390433,-6.354519,13.888889,6.248661
0.020000,8.902792,16.543818,23.794341,1.268898,-6.076742,13.888889,6.247105
0.020000,8.927000,16.542927,23.818559,1.152919,-5.798964,13.888889,6.245698
0.020000,8.948936,16.542091,23.840513,1.042495,-5.521186,13.888889,6.244431
0.020000,8.968723,16.541312,23.860314,0.937627,-5.243408,13.888889,6.243295
0.020000,8.986464,16.540595,23.878074,0.838314,-4.965630,13.888889,6.242282
0.020000,9.002297,16.539940,23.893903,0.744557,-4.687853,13.888889,6.241382
0.020000,9.016274,16.539350,23.907912,0.656356,-4.410075,13.888889,6.240591
0.020000,9.028565,16.538822,23.920212,0.573710,-4.132297,13.888889,6.239898
0.020000,9.039274,16.538355,23.930916,0.496619,-3.854519,13.888889,6.239296
0.020000,9.048475,16.537948,23.940133,0.425085,-3.576742,13.888889,6.238781
0.020000,9.056300,16.537599,23.947975,0.359105,-3.298964,13.888889,6.238343
0.020000,9.062869,16.537303,23.954552,0.298682,-3.021186,13.888889,6.237977
0.020000,9.068290,16.537057,23.959977,0.243813,-2.743408,13.888889,6.237675
0.020000,9.072672,16.536857,23.964361,0.194501,-2.465630,13.888889,6.237432
0.020000,9.076125,16.536698,23.967813,0.150744,-2.187853,13.888889,6.237240
0.020000,9.078760,16.536577,23.970446,0.112542,-1.910075,13.888889,6.237094
0.020000,9.080686,16.536488,23.972370,0.079896,-1.632297,13.888889,6.236987
0.020000,9.082014,16.536426,23.973697,0.052806,-1.354519,13.888889,6.236913
0.020000,9.082856,16.536387,23.974538,0.031271,-1.076742,13.888889,6.236867
0.020000,9.083322,16.536366,23.975004,0.015292,-0.798964,13.888889,6.236841
0.020000,9.083524,16.536356,23.975205,0.004868,-0.521186,13.888889,6.236829
0.020000,9.083573,16.536354,23.975254,0.000000,-0.243408,13.888889,6.236827
0.020000,9.083573,16.536354,23.975254,0.000000,0.000000,12.170412,6.236827
